Name,Phone,Rating,Address,Street Address,City,Categories,Price,Review Count,Hours,Transactions
Yaya Tea - Flushing,+13475698252,4.0,"135-15 40th Rd, Flushing, NY 11354",135-15 40th Rd,Flushing,"Bubble Tea, Coffee & Tea, Japanese",,12,{},"pickup, delivery"
Mango Mango Dessert,+19175631847,4.0,"136-28 39th Ave, Flushing, NY 11354",136-28 39th Ave,Flushing,"Desserts, Ice Cream & Frozen Yogurt, Bubble Tea",$,667,{},"pickup, delivery"
Happy Lemon,+13473684023,4.0,"133-35 Roosevelt Ave, Ste 11, Flushing, NY 11354",133-35 Roosevelt Ave,Flushing,"Taiwanese, Bubble Tea, Juice Bars & Smoothies",$,147,{},"pickup, delivery"
YanYan Tea,+19175403588,4.0,"135-03A Roosevelt Ave, Flushing, NY 11354",135-03A Roosevelt Ave,Flushing,Bubble Tea,,53,{},"pickup, delivery"
I’Milky 沐白 - Flushing,+17185685884,3.0,"37-12 Prince St, Flushing, NY 11354",37-12 Prince St,Flushing,"Bubble Tea, Juice Bars & Smoothies, Taiwanese",,21,{},
Möge Tee,+16467586266,2.5,"42-35 Main st, Unit D, Flushing, NY 11354",42-35 Main st,Flushing,Bubble Tea,,17,{},"pickup, delivery"
Meet Fresh ,+19294688682,4.0,"133-36 37th Ave, Unit F11, Flushing, NY 11354",133-36 37th Ave,Flushing,"Bubble Tea, Desserts",$$,177,{},
The Whale Tea,,3.5,"25-25 Parsons Blvd, Queens, NY 11354",25-25 Parsons Blvd,Queens,Bubble Tea,,18,{},"pickup, delivery"
Gong Cha,+17183537327,3.5,"136-20 Roosevelt Ave, Flushing, NY 11354",136-20 Roosevelt Ave,Flushing,Bubble Tea,$$,144,{},
Mochii,+12124733897,3.0,"136-17 39th Ave, Ste C2, New York, NY 11354",136-17 39th Ave,New York,"Desserts, Ice Cream & Frozen Yogurt, Bubble Tea",,1,{},
Duomi Rice Yogurt House,+16463466241,4.0,"39-07 Prince St, Ste 1J, Flushing, NY 11354",39-07 Prince St,Flushing,"Bubble Tea, Juice Bars & Smoothies",$,42,{},"pickup, delivery"
Tiger Hill,,3.5,"136-49 Roosevelt Ave, Ste 1, Flushing, NY 11354",136-49 Roosevelt Ave,Flushing,Bubble Tea,,15,{},"pickup, delivery"
Gong Cha,+19293290100,5.0,"159-17 Northern Blvd, Flushing, NY 11358",159-17 Northern Blvd,Flushing,Bubble Tea,,16,{},"pickup, delivery"
520 Dessert,+15207882887,3.5,"133-53 37th Ave, Unit 101, Flushing, NY 11354",133-53 37th Ave,Flushing,"Desserts, Bubble Tea, Ice Cream & Frozen Yogurt",$$,410,{},"pickup, delivery"
Momo Ashi,,3.5,"147-05 45th Ave, Flushing, NY 11355",147-05 45th Ave,Flushing,"Bubble Tea, Coffee & Tea, Waffles",,18,{},"pickup, delivery"
Möge Tee,+17185696666,3.5,"61-12 182nd Street, Flushing, NY 11365",61-12 182nd Street,Flushing,Bubble Tea,,83,{},"pickup, delivery"
Snack Mood,+17187990150,4.0,"198-08 33rd Ave, Flushing, NY 11358",198-08 33rd Ave,Flushing,"Bubble Tea, Cafes, Desserts",,39,{},"pickup, delivery"
Coconut&More,+19298956755,4.5,"90-15 Queens Blvd, Elmhurst, NY 11373",90-15 Queens Blvd,Elmhurst,"Juice Bars & Smoothies, Bubble Tea",,3,{},
Cafe Toast,+13477324301,4.0,"4106 163rd St, Flushing, NY 11358",4106 163rd St,Flushing,"Coffee & Tea, Bakeries, Bubble Tea",$,34,{},
Vivi Bubble Tea,+17188867600,3.5,"41-42 Main St, Flushing, NY 11355",41-42 Main St,Flushing,"Taiwanese, Bubble Tea, Juice Bars & Smoothies",$,23,{},"delivery, pickup"
CoCo Fresh Tea & Juice,+17186610724,3.0,"36-1 162nd St, Queens, NY 11358",36-1 162nd St,Queens,"Bubble Tea, Coffee & Tea, Juice Bars & Smoothies",,6,{},"delivery, pickup"
39 Kings Cafe,+17189393330,4.0,"39-07 Prince St, Flushing, NY 11354",39-07 Prince St,Flushing,"Dim Sum, Bubble Tea, Hong Kong Style Cafe",$$,148,{},"delivery, pickup"
Anda Cafe,,3.5,"6002 Main St, Flushing, NY 11355",6002 Main St,Flushing,"Bubble Tea, Sushi Bars, Cafes",$,31,{},delivery
The Whale Tea,+19172596564,3.0,"60-05 Kissena Blvd, Flushing, NY 11355",60-05 Kissena Blvd,Flushing,Bubble Tea,,5,{},delivery
Coco Fresh Tea & Juice,+17183532709,3.5,"182-4 Horace Harding Expy, Flushing, NY 11365",182-4 Horace Harding Expy,Flushing,"Bubble Tea, Coffee & Tea, Juice Bars & Smoothies",$,101,{},"delivery, pickup"
Sweet Cats Cafe,+19292183130,4.0,"168-17 Union Tpke, Fresh Meadows, NY 11366",168-17 Union Tpke,Fresh Meadows,"Desserts, Bubble Tea, Custom Cakes",$,233,{},"delivery, pickup"
Nuan Xin Rice Roll 暖心飯糰,+19299991050,4.5,"136 - 55 Roosevelt Ave, Flushing, NY 11354",136 - 55 Roosevelt Ave,Flushing,"Bubble Tea, Taiwanese",,3,{},
Tiger Sugar,,3.5,"90-15 Queens Blvd, Ste 105, Elmhurst, NY 11373",90-15 Queens Blvd,Elmhurst,"Bubble Tea, Coffee & Tea, Desserts",,10,{},
TBaar,+17183593300,4.0,"136-20 Roosevelt Ave, Flushing, NY 11355",136-20 Roosevelt Ave,Flushing,"Bubble Tea, Juice Bars & Smoothies, Tea Rooms",$,78,{},"delivery, pickup"
MÖGE TEE Forest Hills,+13476441702,4.0,"70-15A Austin Street, Forest Hills, NY 11375",70-15A Austin Street,Forest Hills,Bubble Tea,$$,57,{},"delivery, pickup"
Gong Cha,+17183533115,3.5,"40-24 College Point Blvd, Unit B-1, Flushing, NY 11354",40-24 College Point Blvd,Flushing,Bubble Tea,$,34,{},"delivery, pickup"
Flower Bloom Tea,,3.5,"133-63 41st Rd, Queens, NY 11355",133-63 41st Rd,Queens,Bubble Tea,,2,{},
Nai Brother,+17183066688,4.0,"135-3 Roosevelt Ave, Flushing, NY 11354",135-3 Roosevelt Ave,Flushing,"Chinese, Soup, Bubble Tea",,25,{},"delivery, pickup"
Rainbow Bakery,,4.0,"41-39 Kissena Blvd, Flushing, NY 11355",41-39 Kissena Blvd,Flushing,"Desserts, Bakeries, Bubble Tea",,24,{},delivery
Qiu Sushi and Tea Bar,+16467579868,3.0,"6005 Kissena Blvd, Flushing, NY 11355",6005 Kissena Blvd,Flushing,"Japanese, Sushi Bars, Bubble Tea",,12,{},
Gong Cha,+17182717372,3.5,"61-35 Junction Blvd, Rego Park, NY 11374",61-35 Junction Blvd,Rego Park,Bubble Tea,$,77,{},"delivery, pickup"
QBubble,+17183585868,5.0,"114-02 15th Ave, Unit 5, College Point, NY 11356",114-02 15th Ave,College Point,"Bubble Tea, Ice Cream & Frozen Yogurt, Wholesalers",,3,{},
Gong Cha,+19292822531,4.0,"90-15 Queens Blvd, Elmhurst, NY 11373",90-15 Queens Blvd,Elmhurst,Bubble Tea,$,48,{},delivery
Mango Mango Dessert,+13475363344,4.0,"90-15 Queens Blvd, Elmhurst, NY 11373",90-15 Queens Blvd,Elmhurst,"Desserts, Juice Bars & Smoothies, Bubble Tea",,21,{},"delivery, pickup"
Mask Hotpot Galatea,+17188862130,4.0,"136-20 Roosevelt Ave, Flushing, NY 11354",136-20 Roosevelt Ave,Flushing,Bubble Tea,$,2,{},
Bake Culture,+16468442957,3.5,"160-6 Northern Blvd, Flushing, NY 11358",160-6 Northern Blvd,Flushing,"Bakeries, Desserts, Bubble Tea",$,82,{},"delivery, pickup"
Coco Fresh Tea & Juice,+17188983672,3.5,"86-55 Broadway, Elmhurst, NY 11373",86-55 Broadway,Elmhurst,Bubble Tea,$,70,{},"delivery, pickup"
C Fruit Life,+17183589188,2.5,"13529 Roosevelt Ave, Flushing, NY 11354",13529 Roosevelt Ave,Flushing,"Desserts, Juice Bars & Smoothies, Bubble Tea",$$,122,{},
TKK Fried Chicken Queens Crossing,+17183958297,3.0,"136-20 38th Ave,, Flushing, NY 11354","136-20 38th Ave,",Flushing,"Bubble Tea, Chicken Shop, Asian Fusion",,50,{},
Pata Cafe,+13474697142,4.5,"5614 Van Horn St, Elmhurst, NY 11373",5614 Van Horn St,Elmhurst,"Bubble Tea, Cafes, Thai",$$,98,{},"delivery, pickup"
Chakra Japanese Fusion,+17187990793,4.0,"59-08 Main St, Flushing, NY 11355",59-08 Main St,Flushing,"Bubble Tea, Ramen, Sushi Bars",$$,77,{},"delivery, pickup"
Kissena Cafe,+17188860689,3.5,"6004 Kissena Blvd, Flushing, NY 11355",6004 Kissena Blvd,Flushing,"Cafes, Bubble Tea",$,39,{},"delivery, pickup"
Meadows Cafe,+19294993559,4.5,"195-09 69th Ave, Fresh Meadows, NY 11365",195-09 69th Ave,Fresh Meadows,"Cafes, Bubble Tea, Ice Cream & Frozen Yogurt",,20,{},
Kung Fu Tea,+17182633631,3.5,"70-10 Austin St, Ste 3, Forest Hills, NY 11375",70-10 Austin St,Forest Hills,"Coffee & Tea, Bubble Tea, Juice Bars & Smoothies",$,163,{},"delivery, pickup"
Sunshine Cafe,+17188866333,4.5,"185-24 Horace Harding Expy, Flushing, NY 11365",185-24 Horace Harding Expy,Flushing,"Sandwiches, Bubble Tea, Breakfast & Brunch",,9,{},"delivery, pickup"
Kung Fu Tea,+17183212886,3.0,"136-20 Roosevelt Ave, Ste 7, Flushing, NY 11354",136-20 Roosevelt Ave,Flushing,"Bubble Tea, Coffee & Tea, Juice Bars & Smoothies",$,52,{},"delivery, pickup"
U-Crew Thai Creamery & Tea,+19176986662,3.5,"103-22 Roosevelt Ave, Corona, NY 11368",103-22 Roosevelt Ave,Corona,"Bubble Tea, Creperies, Desserts",,13,{},"delivery, pickup"
Crepe N Tearia,+17183800887,3.5,"177-07 Union Tpke, Fresh Meadows, NY 11366",177-07 Union Tpke,Fresh Meadows,"Creperies, Tea Rooms, Bubble Tea",$,182,{},"delivery, pickup"
TBaar,,4.0,"37-11 Main St, Flushing, NY 11354",37-11 Main St,Flushing,"Bubble Tea, Juice Bars & Smoothies, Coffee & Tea",,6,{},
Black Sheep Coffee House,+17184069344,5.0,"101-20 Astoria Blvd, Queens, NY 11369",101-20 Astoria Blvd,Queens,"Coffee & Tea, Bubble Tea, Juice Bars & Smoothies",,1,{},
Kung Fu Tea,+19294620010,3.5,"86-12 Justice Ave, Elmhurst, NY 11373",86-12 Justice Ave,Elmhurst,"Coffee & Tea, Bubble Tea, Juice Bars & Smoothies",$,146,{},"delivery, pickup"
Little Starry Cafe,+13479252092,5.0,"4836 90th St, New York, NY 11373",4836 90th St,New York,"Bubble Tea, Custom Cakes",,2,{},"delivery, pickup"
Teaporation,,4.0,"37-64 90th St, Queens, NY 11372",37-64 90th St,Queens,Bubble Tea,,4,{},"delivery, pickup"
TBaar,,5.0,"96-3 37th Ave, Corona, NY 11368",96-3 37th Ave,Corona,"Bubble Tea, Juice Bars & Smoothies",,2,{},
Milk Tea House,+19176210909,3.0,"180-10 Union Turnpike, New York, NY 11366",180-10 Union Turnpike,New York,"Bubble Tea, Ramen",,2,{},
Rainbow Cakes & Donuts,+13478134319,4.5,"86-22 Broadway, Queens, NY 11373",86-22 Broadway,Queens,"Cupcakes, Donuts, Bubble Tea",,2,{},
Gong Cha,,4.5,"88-01 Queens Blvd, Queens, NY 11375",88-01 Queens Blvd,Queens,Bubble Tea,,3,{},
Tbaar,,3.5,"135-52 Roosevelt Ave, Flushing, NY 11354",135-52 Roosevelt Ave,Flushing,Bubble Tea,,2,{},"delivery, pickup"
One Nice Tea,+17187990028,2.5,"37-12 Main St, Flushing, NY 11354",37-12 Main St,Flushing,Bubble Tea,,3,{},
Max Bakery,+13478327745,4.5,"37-63 90th St, Jackson Heights, NY 11372",37-63 90th St,Jackson Heights,"Coffee & Tea, Bakeries, Bubble Tea",$,20,{},
