Name,Phone,Rating,Address,Street.Address,City,Categories,Review.Count,Latitude,Longitude,Reviews,source,Authenticity,Restaurant,chain,Bubble Tea_ind,Coffee & Tea_ind,Juice Bars & Smoothies_ind,Taiwanese_ind,Tea Rooms_ind,Desserts_ind,Ice Cream & Frozen Yogurt_ind,Shaved Ice_ind,Donuts_ind,Asian Fusion_ind,Vietnamese_ind,Cafes_ind,Bakeries_ind,Ramen_ind,Arcades_ind,Chicken Wings_ind,Sandwiches_ind,Japanese_ind,Waffles_ind,Sushi Bars_ind,Custom Cakes_ind,Dim Sum_ind,Hong Kong Style Cafe_ind,Creperies_ind,Chinese_ind,International Grocery_ind
Budacai,19198034005,4,"120 E Martin St, Raleigh, NC 27601",120 E Martin St,Raleigh,"Asian Fusion, Bubble Tea, Coffee & Tea",200,35.77679901,-78.63731814,"[""Amazing. love this place so much. The bao and tacos are amazing. \n\nIt doesn't get better than healthy AND tasty."", 'This shop is so cute! I love the upstairs area and how photo friendly they made it. The food is very tasty and I like all of the options I have to choose...', 'I came here after attending an event around the corner.  I was looking for a spot to hang out, people watch, and have good food and a couple of drinks.  I...']",raleigh_boba,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BAMBU,19844650254,4,"90 Cornerstone Dr, Cary, NC 27519",90 Cornerstone Dr,Cary,"Bubble Tea, Juice Bars & Smoothies, Vietnamese",40,35.7910933,-78.8525035,"['A first time visit near the UPS store and Harris Teeter.\nThe heat has been brutal and needed something besides water to hydrate. I must have passed a...', ""Cozy little cafe with milk tea, Vietnamese coffee, and lots of desserts! It's small inside, and there's room for around 10-15 people.\n\nThe menu has a lot of..."", 'The Pandan waffle is to die for. I had to stop my hubby before I could take a pic.\nChe were a little sweet this time. But the Pandan waffle is a must order.']",raleigh_boba,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Milk Lab - Cary,19842000016,4.5,"6418 Tryon Rd, Cary, NC 27518",6418 Tryon Rd,Cary,"Ice Cream & Frozen Yogurt, Bubble Tea, Coffee & Tea",521,35.745425,-78.760704,"['Great little spot. Very hip and not a lot of sitting area. The staff is friendly and very patient. The milk tea was great! I love that you can tailor how...', 'I online ordered and was a good experience. I like the app tells you when your order is ready. \n\nNow that I understand a little better about how to order...', 'The ice cream was so good!! The selection choices were nice. My son really enjoyed being able to watch them make it. My sister and niece really enjoyed the...']",raleigh_boba,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Moomoocha,19842007002,4,"1350 5th Ave, Ste 250, Garner, NC 27529",1350 5th Ave,Garner,"Bubble Tea, Cafes",27,35.709629,-78.622351,"[""I can't believe I've never heard of MooMooCha, especially since I consider myself a boba fanatic. Well, I was in the area and got a Classic MooMooCha with..."", 'Bubble tea shop located in the Garner 5th Avenue shops on the side facing the highway. There is ample parking in the lot and the shop itself is good in...', ""I was in the mood for a refreshing drink so I looked up the closest Boba spot. This location was a little difficult to find for a first timer. It's located...""]",raleigh_boba,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Brecotea,19192341555,4,"1144 Kildaire Farm Rd, Cary, NC 27511",1144 Kildaire Farm Rd,Cary,"Bubble Tea, Coffee & Tea, Bakeries",229,35.766387,-78.783376,"['Oh heavens! I found my new favorite bakery!!\n\nWe were driving by and the word bakery caught the corner of my eye so I made a u-turn and stopped in.\n\nTried a...', 'My partner and I visited Brecotea for a quick snack and coffee while visiting Cary. It was very crowded when we visited on a weekend afternoon. The interior...', ""If you're looking for a Korean bakery mashed up with boba place, in an upscale setting, you'll find it at Brecotea. \nAt the center of a large dining area is...""]",raleigh_boba,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Pho Oxtail,19842203783,4.5,"3901 Capital Blvd, Ste 163, Raleigh, NC 27604",3901 Capital Blvd,Raleigh,"Vietnamese, Bubble Tea",122,35.836101,-78.585814,"[""While it may not be the best Pho I've ever tasted, this place offers a genuine and authentic Vietnamese Pho experience that is hard to come by in North..."", ""Been coming here for few years and their service and food quality is progressively declining. I kept going back hoping that it'll change back to what it..."", ""Best pho in RTP in my opinion. Broth has excellent depth and balance, and tastes richer than others in the area.  I would recommend their banh mi's as well.""]",raleigh_boba,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SipCha,19193728035,4.5,"1011 Beaver Creek Commons Dr, Apex, NC 27502",1011 Beaver Creek Commons Dr,Apex,"Bubble Tea, Ice Cream & Frozen Yogurt",129,35.74321,-78.8711507,"[""I've visited the Cary location quite a few times and was excited to see this one close by to where I was today. \n\nThe Apex location is much bigger and more..."", ""Omg. As someone who has only had boba once, and out of a can, this was my first fresh boba experience. Safe to say, I'm obsessed. I would come here every..."", 'I\'m quickly becoming a big fan of SipCha. This is the second location I\'ve been to and they\'re consistently delicious. \nThe ""Ube Meets Taro"" is the star of...']",raleigh_boba,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Quickly Tea House,19848880137,4,"2604A Hillsborough Rd, Durham, NC 27705",2604A Hillsborough Rd,Durham,"Bubble Tea, Taiwanese, Ramen",91,36.01087684,-78.92898257,"['Tea was delicious. They forgot to make my popcorn chicken and they ended up giving me a refund, a filled out free drink punch card, and the chicken(which...', 'the nostalgic boba\n\nnow with boba places popping up everywhere, it is really hard to tell them apart tbh. but quickly will always have a special place in my...', '10 out of 5 stars for the popcorn chicken. Honestly may be one of my fave things in Durham. I would eat it every other day if my cholesterol and waistline...']",raleigh_boba,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Cha House - Cary,19844650498,4.5,"1319 Kildaire Farm Rd, Cary, NC 27511",1319 Kildaire Farm Rd,Cary,"Taiwanese, Bubble Tea, Coffee & Tea",132,35.76017659,-78.78198264,"['Cha House is my favorite place to get boba. I have loved everything I have tried there, and the service is amazing. The inside is cute, and would be nice to...', ""Another cute tea house (and it has a prime location between two of my favorite places to be - Barnes & Noble and Trader Joe's!!!!).  The Spicy Chai (regular..."", 'Got boba for the first time here. They have a wide variety of teas and snacks. \n\nService was fast. The employees are very respectful and informative. It was...']",raleigh_boba,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sweet Room,19193676358,4,"2763 NC-55, Cary, NC 27519",2763 NC-55,Cary,"Desserts, Bubble Tea, Shaved Ice",36,35.78599846,-78.87269849,"['I came here with my friends on last Wednesday around 8:30. First I like the say the layout the minimal decor was really nice. Very clean and Serene. \n\n1. We...', ""This place was clean and neat.Different varieties of milk tea to choose from.We enjoyed the mango snow ice but it's a huge quantity and can be shared..."", ""Such a cute place for boba and dessert. It's very minimalistic yet cozy inside. Staff was friendly and helpful explaining items on the menu. The mango...""]",raleigh_boba,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SipCha,19844650462,5,"407 Emissary Dr, Cary, NC 27519",407 Emissary Dr,Cary,"Bubble Tea, Tea Rooms, Cafes",24,35.82531901,-78.90382539,"[""They have mastered the Taro boba tea! We have gone back 3 times for it specifically!\n\nHighly recommend ordering any of the specialties and don't forget the..."", 'The milk tea here slaps. I ordered the mango drink with lychee jelly at 50% sweetness and it was deeelicious.\n\nStaff was nice. Service was excellent.\n\nChill...', 'Light sweet fresh Boba tea. Great music always playing lively experience. Good hours clean usually come every couple of weeks. Will be back.']",raleigh_boba,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bep Vietnamese Kitchen,19192852477,4.5,"300 S Main St, Holly Springs, NC 27540",300 S Main St,Holly Springs,"Vietnamese, Bubble Tea, Desserts",85,35.64835,-78.83407,"['Consistently good. Flavors are great and everything feels fresh. A great casual spot for authentic Vietnamese food.', 'We gave Bep Vietnamese Kitchen a try for a Saturday lunch.  For an appetizer, we tried the ""eggs rolls"", which I believe are actually Imperial Spring Rolls....', 'I was excited to try this spot, as my sister loves it. I ordered the ""spring rolls"" and shrimp vermicelli dish. I am gluten free for health reasons and let...']",raleigh_boba,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Boba Beans Bistro,19195857971,4.5,"50 Neuse River Pkwy, Ste 1, Clayton, NC 27527",50 Neuse River Pkwy,Clayton,Bubble Tea,13,35.64954158,-78.39495232,"['Biggest, most fun lounge area yet, cool different seating areas to hang out, recreate, or play.  The flavors are fresh, with real fruit, and incredible...', 'Inclusive, proactive, delicious.\n\nI was so happy to find this place, I was invited here by a friend for a work meeting. The tea was amazing, great milk...', 'In the area, had some time and craving boba tea.\nCute space, they have a nice selection of boba teas, coffee items, teas and small bites.\nI enjoyed the...']",raleigh_boba,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Kung Fu Tea - Raleigh,NA,4,"10251 Little Brier Creek Ln, Ste 106, Raleigh, NC 27617",10251 Little Brier Creek Ln,Raleigh,"Coffee & Tea, Juice Bars & Smoothies, Bubble Tea",22,35.91131,-78.78521,"[""KFT is KFT is KFT amiright? Lol\nThere wasn't anything special or anything wrong/bad about this location compared to the others. I actually like how spacious..."", ""I've found a true boba paradise in Northwest Raleigh, and it's none other than Kung Fu Tea. This place sets the bar high with their exceptional boba,..."", ""My friend introduced me to Kung Fu Tea and I'm so happy she did!! \nThere's plenty of parking up front and the business is easy to find. There are a ton of...""]",raleigh_boba,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Milk Lab - Durham,19199379798,4.5,"105 W Nc Hwy 54, Ste 265, Durham, NC 27713",105 W Nc Hwy 54,Durham,"Coffee & Tea, Ice Cream & Frozen Yogurt, Bubble Tea",147,35.90927897,-78.93938673,"['Milk Lab is my most frequented bubble tea shop in NC. I got the brown tea black milk tea with crystal boba at 50% sweetness and less ice. It was delicious....', ""Milk Lab is a really good place to satisfy my boba cravings! It's located in a plaza with plenty of parking, and they have an online ordering option. I got..."", ""I know rolled ice cream was all the rage / Insta worthy yums a few years ago but I've largely forgotten about that til recently. Have been to Milklab 2ce...""]",raleigh_boba,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Quickly-Morrisville,19844650347,4,"4141 Davis Dr, Morrisville, NC 27560",4141 Davis Dr,Morrisville,"Coffee & Tea, Bubble Tea, Juice Bars & Smoothies",138,35.83615948,-78.85836838,"[""Amazing selection. More selection than any drink store I've ever seen. Great fast service and not overpriced. Stop here every chance I get."", 'Not really sure what happened but this place used to be so good when it first opened :( Came back in town after a few years to try this location again and...', 'Bummed that they are closed on Mondays but other than that I really love this place and wish there were more locations in the area. I have never tried any...']",raleigh_boba,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Yaya Tea Durham,19199088153,4,"807 E Main St, Ste 2-150, Durham, NC 27701",807 E Main St,Durham,Bubble Tea,34,35.99020133,-78.89101949,"[""The location is hard to find. We drove around for 20 minutes trying to find it. Once you do, you're met with a cute, small little place. \n\nI got the gyoza..."", ""Meh. I came here for boba with a group of friends. There wasn't anyone else there, so the service was pretty fast. The drink itself was not good - boba was..."", '""Boba Tea and more just east of downtown Durham""\n\nBoba tea places are spreading in the area, and my son and I were excited to try this one on a Friday...']",raleigh_boba,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
More Tea,19192674859,4.5,"806 Perry Rd, Apex, NC 27502",806 Perry Rd,Apex,"Desserts, Bubble Tea",18,35.720997,-78.84466,"['The drinks were so good man. The service was quick and they were friendly. And the place...omg it was so pretty in there. Really aesthetic, will recommend...', 'They have a variety of milk teas from cold to hot with many flavors to choose from.  You can also grab some bakery while you enjoy your tea. The atmosphere...', 'Most people come here for their egg tarts. Of course, I tried them too. For two egg tarts, I paid  overall with tax $6.22. Their pastries price points are...']",raleigh_boba,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Boba T +,19192978552,5,"1401 SE Maynard Rd, Ste G, Cary, NC 27511",1401 SE Maynard Rd,Cary,Bubble Tea,12,35.7900138,-78.7642243,"[""My go to spot! This is probably my sixth time here and I'm finally getting around to a review, I always have such a great experience. I love Boba and this..."", 'Super great and personable service! Our kids loved the mango slushy and strawberry milk drinks. Nice take home cups you could reuse again. Cute boutique...', ""My search for the best boba place in the area has finally ended! I'm surprised it doesn't have more reviews. I don't even know where to start. The owners...""]",raleigh_boba,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sharetea - Morrisville,19199441881,4,"1101 Grace Park Dr, Morrisville, NC 27560",1101 Grace Park Dr,Morrisville,Bubble Tea,5,35.82013454,-78.84618779,"['So, funny story. I ordered three drinks tonight, placed them all in a drink carrier and headed out. As I was lifting the drinks (still in said drink...', ""Bottom line: I'm going with 4.5 stars for this new Sharetea location in Morrisville. Delicious and refreshing beverage but price point is not cheap. Nice..."", 'So excited for a new boba place in the Raleigh/Morrisville area! Their Thai tea was great, and they let us try one of their new possible teas, mango and...']",raleigh_boba,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bapu Fresh,NA,3.5,"9589 Chapel Hill Rd, Morrisville, NC 27560",9589 Chapel Hill Rd,Morrisville,Bubble Tea,29,35.80453822,-78.81231679,"['Mango smoothie with popping mango boba was delicious and the corn dogs hit the spot as well. Nice vibe here and liked that they had board games to pass some...', ""Excited to find another boba shop near me. I've gone a few times now, and ordered something different each time. Everyone was super friendly and the menu..."", 'Nice ambiance! Reasonably priced compared to other bubble tea shops! The reason for the less stars is that they did not post if they do less sugar and ice...']",raleigh_boba,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
