"Name","Phone","Rating","Address","Street.Address","City","Categories","Price","Review.Count","Hours","Transactions","bubble_tea_ind","taiwanese_ind","desserts_ind","coffee_tea_ind","arcades_ind","chicken_wings_ind","tea_rooms_ind","juice_bars_smoothies_ind","sandwiches_ind","ice_cream_frozen_yogurt_ind","japanese_ind","waffles_ind","cafes_ind","bakeries_ind","dim_sum_ind","hong_kong_style_cafe_ind","sushi_bars_ind","custom_cakes_ind","chinese_ind","soup_ind","wholesalers_ind","chicken_shop_ind","asian_fusion_ind","thai_ind","ramen_ind","breakfast_brunch_ind","creperies_ind","cupcakes_ind","donuts_ind"
"Teazzi Tea Shop",19292902888,4,"135-17 38th Ave, Flushing, NY 11354","135-17 38th Ave","Flushing","Bubble Tea","$$",88,"{}","pickup, delivery",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sweet Cake",19293290666,4.5,"137-06 Northern Blvd, Flushing, NY 11354","137-06 Northern Blvd","Flushing","Desserts, Bubble Tea","$$",72,"{}","pickup, delivery",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CoCo Fresh Tea & Juice",17183218566,3.5,"39-22 Main St, Flushing, NY 11354","39-22 Main St","Flushing","Coffee & Tea, Juice Bars & Smoothies, Bubble Tea","$",243,"{}","pickup, delivery",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mumu Sweets",19292648668,5,"147-32 Northern Blvd, New York, NY 11354","147-32 Northern Blvd","New York","Bubble Tea, Desserts","",3,"{}","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coffee Story",19296552224,4.5,"152-22 Northern Blvd, Flushing, NY 11354","152-22 Northern Blvd","Flushing","Coffee & Tea, Bubble Tea, Sandwiches","$$",38,"{}","pickup, delivery",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yomie's Rice x Yogurt",19175635676,4,"135-28 Roosevelt Ave, Unit B, Flushing, NY 11354","135-28 Roosevelt Ave","Flushing","Juice Bars & Smoothies, Bubble Tea, Ice Cream & Frozen Yogurt","$$",82,"{}","pickup, delivery",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Machi Machi",13477034976,3.5,"133-36 39th Ave, Flushing, NY 11354","133-36 39th Ave","Flushing","Bubble Tea","",26,"{}","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Möge Tee",13473684129,5,"157-08 Northern Blvd, New York, NY 11354","157-08 Northern Blvd","New York","Bubble Tea","",2,"{}","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TSAôCAA",17183535937,3,"38-04 Prince St, Flushing, NY 11354","38-04 Prince St","Flushing","Bubble Tea","",69,"{}","pickup, delivery",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M Tea",17188862566,3.5,"36-56 Main St, Flushing, NY 11354","36-56 Main St","Flushing","Bubble Tea, Desserts, Juice Bars & Smoothies","$",130,"{}","pickup, delivery",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bing Ling Tea",17185003788,4.5,"61-18 190th St, Fresh Meadows, NY 11365","61-18 190th St","Fresh Meadows","Bubble Tea","",43,"{}","pickup, delivery",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gong Cha",17187622874,3.5,"40-06 Union St, Flushing, NY 11354","40-06 Union St","Flushing","Bubble Tea","$",87,"{}","pickup, delivery",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kung Fu Tea",17183958297,3.5,"136-20 38th Ave, Flushing, NY 11354","136-20 38th Ave","Flushing","Coffee & Tea, Bubble Tea, Juice Bars & Smoothies","$",289,"{}","pickup, delivery",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sweet Cats Cafe",19292183130,3.5,"35-21 Farrington St, Flushing, NY 11354","35-21 Farrington St","Flushing","Arcades, Desserts, Bubble Tea","$$",95,"{}","delivery",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yaya Tea - Flushing",13475698252,4,"135-15 40th Rd, Flushing, NY 11354","135-15 40th Rd","Flushing","Bubble Tea, Coffee & Tea, Japanese","",12,"{}","pickup, delivery",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mango Mango Dessert",19175631847,4,"136-28 39th Ave, Flushing, NY 11354","136-28 39th Ave","Flushing","Desserts, Ice Cream & Frozen Yogurt, Bubble Tea","$",667,"{}","pickup, delivery",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Happy Lemon",13473684023,4,"133-35 Roosevelt Ave, Ste 11, Flushing, NY 11354","133-35 Roosevelt Ave","Flushing","Taiwanese, Bubble Tea, Juice Bars & Smoothies","$",147,"{}","pickup, delivery",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YanYan Tea",19175403588,4,"135-03A Roosevelt Ave, Flushing, NY 11354","135-03A Roosevelt Ave","Flushing","Bubble Tea","",53,"{}","pickup, delivery",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I’Milky 沐白 - Flushing",17185685884,3,"37-12 Prince St, Flushing, NY 11354","37-12 Prince St","Flushing","Bubble Tea, Juice Bars & Smoothies, Taiwanese","",21,"{}","",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Möge Tee",16467586266,2.5,"42-35 Main st, Unit D, Flushing, NY 11354","42-35 Main st","Flushing","Bubble Tea","",17,"{}","pickup, delivery",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meet Fresh ",19294688682,4,"133-36 37th Ave, Unit F11, Flushing, NY 11354","133-36 37th Ave","Flushing","Bubble Tea, Desserts","$$",177,"{}","",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Whale Tea",NA,3.5,"25-25 Parsons Blvd, Queens, NY 11354","25-25 Parsons Blvd","Queens","Bubble Tea","",18,"{}","pickup, delivery",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gong Cha",17183537327,3.5,"136-20 Roosevelt Ave, Flushing, NY 11354","136-20 Roosevelt Ave","Flushing","Bubble Tea","$$",144,"{}","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mochii",12124733897,3,"136-17 39th Ave, Ste C2, New York, NY 11354","136-17 39th Ave","New York","Desserts, Ice Cream & Frozen Yogurt, Bubble Tea","",1,"{}","",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duomi Rice Yogurt House",16463466241,4,"39-07 Prince St, Ste 1J, Flushing, NY 11354","39-07 Prince St","Flushing","Bubble Tea, Juice Bars & Smoothies","$",42,"{}","pickup, delivery",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tiger Hill",NA,3.5,"136-49 Roosevelt Ave, Ste 1, Flushing, NY 11354","136-49 Roosevelt Ave","Flushing","Bubble Tea","",15,"{}","pickup, delivery",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gong Cha",19293290100,5,"159-17 Northern Blvd, Flushing, NY 11358","159-17 Northern Blvd","Flushing","Bubble Tea","",16,"{}","pickup, delivery",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"520 Dessert",15207882887,3.5,"133-53 37th Ave, Unit 101, Flushing, NY 11354","133-53 37th Ave","Flushing","Desserts, Bubble Tea, Ice Cream & Frozen Yogurt","$$",410,"{}","pickup, delivery",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Momo Ashi",NA,3.5,"147-05 45th Ave, Flushing, NY 11355","147-05 45th Ave","Flushing","Bubble Tea, Coffee & Tea, Waffles","",18,"{}","pickup, delivery",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Möge Tee",17185696666,3.5,"61-12 182nd Street, Flushing, NY 11365","61-12 182nd Street","Flushing","Bubble Tea","",83,"{}","pickup, delivery",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Snack Mood",17187990150,4,"198-08 33rd Ave, Flushing, NY 11358","198-08 33rd Ave","Flushing","Bubble Tea, Cafes, Desserts","",39,"{}","pickup, delivery",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coconut&More",19298956755,4.5,"90-15 Queens Blvd, Elmhurst, NY 11373","90-15 Queens Blvd","Elmhurst","Juice Bars & Smoothies, Bubble Tea","",3,"{}","",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cafe Toast",13477324301,4,"4106 163rd St, Flushing, NY 11358","4106 163rd St","Flushing","Coffee & Tea, Bakeries, Bubble Tea","$",34,"{}","",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vivi Bubble Tea",17188867600,3.5,"41-42 Main St, Flushing, NY 11355","41-42 Main St","Flushing","Taiwanese, Bubble Tea, Juice Bars & Smoothies","$",23,"{}","delivery, pickup",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CoCo Fresh Tea & Juice",17186610724,3,"36-1 162nd St, Queens, NY 11358","36-1 162nd St","Queens","Bubble Tea, Coffee & Tea, Juice Bars & Smoothies","",6,"{}","delivery, pickup",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39 Kings Cafe",17189393330,4,"39-07 Prince St, Flushing, NY 11354","39-07 Prince St","Flushing","Dim Sum, Bubble Tea, Hong Kong Style Cafe","$$",148,"{}","delivery, pickup",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anda Cafe",NA,3.5,"6002 Main St, Flushing, NY 11355","6002 Main St","Flushing","Bubble Tea, Sushi Bars, Cafes","$",31,"{}","delivery",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"The Whale Tea",19172596564,3,"60-05 Kissena Blvd, Flushing, NY 11355","60-05 Kissena Blvd","Flushing","Bubble Tea","",5,"{}","delivery",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coco Fresh Tea & Juice",17183532709,3.5,"182-4 Horace Harding Expy, Flushing, NY 11365","182-4 Horace Harding Expy","Flushing","Bubble Tea, Coffee & Tea, Juice Bars & Smoothies","$",101,"{}","delivery, pickup",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sweet Cats Cafe",19292183130,4,"168-17 Union Tpke, Fresh Meadows, NY 11366","168-17 Union Tpke","Fresh Meadows","Desserts, Bubble Tea, Custom Cakes","$",233,"{}","delivery, pickup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Nuan Xin Rice Roll 暖心飯糰",19299991050,4.5,"136 - 55 Roosevelt Ave, Flushing, NY 11354","136 - 55 Roosevelt Ave","Flushing","Bubble Tea, Taiwanese","",3,"{}","",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tiger Sugar",NA,3.5,"90-15 Queens Blvd, Ste 105, Elmhurst, NY 11373","90-15 Queens Blvd","Elmhurst","Bubble Tea, Coffee & Tea, Desserts","",10,"{}","",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TBaar",17183593300,4,"136-20 Roosevelt Ave, Flushing, NY 11355","136-20 Roosevelt Ave","Flushing","Bubble Tea, Juice Bars & Smoothies, Tea Rooms","$",78,"{}","delivery, pickup",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MÖGE TEE Forest Hills",13476441702,4,"70-15A Austin Street, Forest Hills, NY 11375","70-15A Austin Street","Forest Hills","Bubble Tea","$$",57,"{}","delivery, pickup",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gong Cha",17183533115,3.5,"40-24 College Point Blvd, Unit B-1, Flushing, NY 11354","40-24 College Point Blvd","Flushing","Bubble Tea","$",34,"{}","delivery, pickup",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flower Bloom Tea",NA,3.5,"133-63 41st Rd, Queens, NY 11355","133-63 41st Rd","Queens","Bubble Tea","",2,"{}","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nai Brother",17183066688,4,"135-3 Roosevelt Ave, Flushing, NY 11354","135-3 Roosevelt Ave","Flushing","Chinese, Soup, Bubble Tea","",25,"{}","delivery, pickup",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Rainbow Bakery",NA,4,"41-39 Kissena Blvd, Flushing, NY 11355","41-39 Kissena Blvd","Flushing","Desserts, Bakeries, Bubble Tea","",24,"{}","delivery",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Qiu Sushi and Tea Bar",16467579868,3,"6005 Kissena Blvd, Flushing, NY 11355","6005 Kissena Blvd","Flushing","Japanese, Sushi Bars, Bubble Tea","",12,"{}","",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Gong Cha",17182717372,3.5,"61-35 Junction Blvd, Rego Park, NY 11374","61-35 Junction Blvd","Rego Park","Bubble Tea","$",77,"{}","delivery, pickup",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QBubble",17183585868,5,"114-02 15th Ave, Unit 5, College Point, NY 11356","114-02 15th Ave","College Point","Bubble Tea, Ice Cream & Frozen Yogurt, Wholesalers","",3,"{}","",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Gong Cha",19292822531,4,"90-15 Queens Blvd, Elmhurst, NY 11373","90-15 Queens Blvd","Elmhurst","Bubble Tea","$",48,"{}","delivery",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mango Mango Dessert",13475363344,4,"90-15 Queens Blvd, Elmhurst, NY 11373","90-15 Queens Blvd","Elmhurst","Desserts, Juice Bars & Smoothies, Bubble Tea","",21,"{}","delivery, pickup",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mask Hotpot Galatea",17188862130,4,"136-20 Roosevelt Ave, Flushing, NY 11354","136-20 Roosevelt Ave","Flushing","Bubble Tea","$",2,"{}","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bake Culture",16468442957,3.5,"160-6 Northern Blvd, Flushing, NY 11358","160-6 Northern Blvd","Flushing","Bakeries, Desserts, Bubble Tea","$",82,"{}","delivery, pickup",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coco Fresh Tea & Juice",17188983672,3.5,"86-55 Broadway, Elmhurst, NY 11373","86-55 Broadway","Elmhurst","Bubble Tea","$",70,"{}","delivery, pickup",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C Fruit Life",17183589188,2.5,"13529 Roosevelt Ave, Flushing, NY 11354","13529 Roosevelt Ave","Flushing","Desserts, Juice Bars & Smoothies, Bubble Tea","$$",122,"{}","",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TKK Fried Chicken Queens Crossing",17183958297,3,"136-20 38th Ave,, Flushing, NY 11354","136-20 38th Ave,","Flushing","Bubble Tea, Chicken Shop, Asian Fusion","",50,"{}","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Pata Cafe",13474697142,4.5,"5614 Van Horn St, Elmhurst, NY 11373","5614 Van Horn St","Elmhurst","Bubble Tea, Cafes, Thai","$$",98,"{}","delivery, pickup",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Chakra Japanese Fusion",17187990793,4,"59-08 Main St, Flushing, NY 11355","59-08 Main St","Flushing","Bubble Tea, Ramen, Sushi Bars","$$",77,"{}","delivery, pickup",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Kissena Cafe",17188860689,3.5,"6004 Kissena Blvd, Flushing, NY 11355","6004 Kissena Blvd","Flushing","Cafes, Bubble Tea","$",39,"{}","delivery, pickup",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meadows Cafe",19294993559,4.5,"195-09 69th Ave, Fresh Meadows, NY 11365","195-09 69th Ave","Fresh Meadows","Cafes, Bubble Tea, Ice Cream & Frozen Yogurt","",20,"{}","",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kung Fu Tea",17182633631,3.5,"70-10 Austin St, Ste 3, Forest Hills, NY 11375","70-10 Austin St","Forest Hills","Coffee & Tea, Bubble Tea, Juice Bars & Smoothies","$",163,"{}","delivery, pickup",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sunshine Cafe",17188866333,4.5,"185-24 Horace Harding Expy, Flushing, NY 11365","185-24 Horace Harding Expy","Flushing","Sandwiches, Bubble Tea, Breakfast & Brunch","",9,"{}","delivery, pickup",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Kung Fu Tea",17183212886,3,"136-20 Roosevelt Ave, Ste 7, Flushing, NY 11354","136-20 Roosevelt Ave","Flushing","Bubble Tea, Coffee & Tea, Juice Bars & Smoothies","$",52,"{}","delivery, pickup",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U-Crew Thai Creamery & Tea",19176986662,3.5,"103-22 Roosevelt Ave, Corona, NY 11368","103-22 Roosevelt Ave","Corona","Bubble Tea, Creperies, Desserts","",13,"{}","delivery, pickup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Crepe N Tearia",17183800887,3.5,"177-07 Union Tpke, Fresh Meadows, NY 11366","177-07 Union Tpke","Fresh Meadows","Creperies, Tea Rooms, Bubble Tea","$",182,"{}","delivery, pickup",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TBaar",NA,4,"37-11 Main St, Flushing, NY 11354","37-11 Main St","Flushing","Bubble Tea, Juice Bars & Smoothies, Coffee & Tea","",6,"{}","",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Black Sheep Coffee House",17184069344,5,"101-20 Astoria Blvd, Queens, NY 11369","101-20 Astoria Blvd","Queens","Coffee & Tea, Bubble Tea, Juice Bars & Smoothies","",1,"{}","",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kung Fu Tea",19294620010,3.5,"86-12 Justice Ave, Elmhurst, NY 11373","86-12 Justice Ave","Elmhurst","Coffee & Tea, Bubble Tea, Juice Bars & Smoothies","$",146,"{}","delivery, pickup",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Little Starry Cafe",13479252092,5,"4836 90th St, New York, NY 11373","4836 90th St","New York","Bubble Tea, Custom Cakes","",2,"{}","delivery, pickup",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Teaporation",NA,4,"37-64 90th St, Queens, NY 11372","37-64 90th St","Queens","Bubble Tea","",4,"{}","delivery, pickup",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TBaar",NA,5,"96-3 37th Ave, Corona, NY 11368","96-3 37th Ave","Corona","Bubble Tea, Juice Bars & Smoothies","",2,"{}","",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Milk Tea House",19176210909,3,"180-10 Union Turnpike, New York, NY 11366","180-10 Union Turnpike","New York","Bubble Tea, Ramen","",2,"{}","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Rainbow Cakes & Donuts",13478134319,4.5,"86-22 Broadway, Queens, NY 11373","86-22 Broadway","Queens","Cupcakes, Donuts, Bubble Tea","",2,"{}","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Gong Cha",NA,4.5,"88-01 Queens Blvd, Queens, NY 11375","88-01 Queens Blvd","Queens","Bubble Tea","",3,"{}","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tbaar",NA,3.5,"135-52 Roosevelt Ave, Flushing, NY 11354","135-52 Roosevelt Ave","Flushing","Bubble Tea","",2,"{}","delivery, pickup",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"One Nice Tea",17187990028,2.5,"37-12 Main St, Flushing, NY 11354","37-12 Main St","Flushing","Bubble Tea","",3,"{}","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Max Bakery",13478327745,4.5,"37-63 90th St, Jackson Heights, NY 11372","37-63 90th St","Jackson Heights","Coffee & Tea, Bakeries, Bubble Tea","$",20,"{}","",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
